MSHA ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_(short_tons),Average_Employees,Labor_Hours,log_production
1518946,2015,Job #49,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Mine only,"Premier Elkhorn Coal Company,","6920 Highway 610 W, Myra, KY 41537",,Appalachia Central,246394,59,135996,12.4146871597
1518952,2015,No 2,Kentucky (East),Pike,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Jmeg Mine, Llc","631 Brawley School Road, Mooresville, NC 28117",,Appalachia Central,37470,8,11031,10.5312958918
1519048,2015,Mine #15a,Kentucky (East),Pike,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,Jarisa Inc.,"P.O. Box 536, Neon, KY 41840",,Appalachia Central,2000,35,8300,7.60090245954
1519094,2015,Center Creek Mine,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Mine only,C S & S Coal Corporation,"P.O. Box 1247, Wise, VA 24293",,Appalachia Central,64924,16,38455,11.080972634
1519097,2015,Process Energy,Kentucky (East),Pike,Active,Underground,Operating Subsidiary,Mine only,"Sidney Coal Company, Inc.","P.O. Box 299, Sidney, KY 41564",,Appalachia Central,714983,124,272441,13.4800140452
1519145,2015,No 8,Kentucky (East),Pike,Temporarily closed,Surface,Independent Producer Operator,Mine only,Apex Energy Inc,"P.O. Box 2100, Pikeville, KY 41502",,Appalachia Central,22361,17,9362,10.015073649
1519153,2015,#1 Mine,Kentucky (East),Pike,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,Dynasty Mining Inc.,"1368 Powells Creek, Pikeville, KY 41501",,Appalachia Central,13519,9,8614,9.51185138236
1519180,2015,M3 Energy,Kentucky (East),Pike,"Active, men working, not producing",Underground,Operating Subsidiary,Mine only,"Sidney Coal Company, Inc.","P.O. Box 299, Sidney, KY 41564",,Appalachia Central,48361,28,23862,10.7864489828
1519188,2015,Grapevine Mine,Kentucky (East),Pike,Permanently abandoned,Underground,Independent Producer Operator,Mine only,Banner Blue Coal Company,"P.O. Box 249, Stanville, KY 41659",,Appalachia Central,17472,36,11446,9.76835487854
1519208,2015,# 4,Kentucky (East),Pike,Permanently abandoned,Underground,Independent Producer Operator,Mine only,Inspiration Resources Inc.,"P.O. Box 431, Hardy, KY 41531",,Appalachia Central,53109,14,22960,10.8801016844
1519280,2015,No 4,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Mine only,Cavalier Mineral Inc,"17339 River Drive Suite B, Vansant, VA 24656",,Appalachia Central,108077,29,51456,11.590599215
1519325,2015,Mine No. 7,Kentucky (East),Pike,Active,Underground,Contractor,Mine only,Clas Coal Company Inc.,"P.O. Box 643, Elkhorn City, KY 41522",,Appalachia Central,131761,38,93031,11.7887449544
1519371,2015,# 9,Kentucky (East),Pike,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Pia Company, Inc.","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,98608,14,20764,11.4989076732
1519396,2015,Persimmon #1,Kentucky (East),Pike,Temporarily closed,Surface,Independent Producer Operator,Mine only,Clintwood Elkhorn Mining Llc,"23956 State  Highway 194e, Feds Creek, KY 41524",,Appalachia Central,17728,3,4698,9.78290058955
1519433,2015,Eagle 2,Kentucky (East),Pike,Permanently abandoned,Underground,Independent Producer Operator,Mine only,Jet Coal Company Inc,"P.O. Box 276, Virgie, KY 41572",,Appalachia Central,98060,22,30096,11.4933348152
1519464,2015,S-23 Harmonds Branch,Kentucky (East),Pike,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Revelation Energy, Llc.","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,18604,5,9288,9.83113189034
1519475,2015,Beech Creek Surface Mine,Kentucky (East),Pike,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Kentucky Fuel Corporation,"P.O. Box 1085, Beckley, WV 25802",,Appalachia Central,29096,17,26328,10.2783559867
1519501,2015,Mine No 11,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Mine only,Hubble Mining Co Llc,"P.O. Box 392, Pikeville, KY 41502",,Appalachia Central,169783,60,123074,12.0422764301
1519515,2015,Mine #4,Kentucky (East),Pike,"Active, men working, not producing",Underground,Operating Subsidiary,Mine only,"Excel Mining, Llc.","4168 State Highway 194 West, Pikeville, KY 41501",,Appalachia Central,1514679,230,515386,14.2307140933
1519534,2015,Eagle 3,Kentucky (East),Pike,Permanently abandoned,Underground,Independent Producer Operator,Mine only,New Jet Llc,"P.O. Box 276, Virgie, KY 41572",,Appalachia Central,128079,48,65883,11.76040254
1519541,2015,7-E,Kentucky (East),Pike,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,"Dags Branch Coal Co, Inc.","P.O. Box 159, Fedscreek, KY 41524",,Appalachia Central,31070,13,22073,10.3439980024
1519544,2015,No 9,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Mine only,"Apex Energy, Inc.","24044 State Highway 194 East, Fedscreek, KY 41524",,Appalachia Central,21004,20,7433,9.95246817476
1519604,2015,Beaver Mine No. 1,Kentucky (East),Pike,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Mill Branch Processing, Inc.","P.O. Box 100, Ashcamp, KY 41512",,Appalachia Central,1095,6,2176,6.99850964225
1519622,2015,Job 51,Kentucky (East),Pike,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Premier Elkhorn Coal Company,","6920 Hwy. 610 West, Myra, KY 41537",,Appalachia Central,44394,9,19275,10.7008596042
